SEQNOS,CHRIS_CODE,CAS_NUMBER,UN_NUMBER,AMOUNT_OF_MATERIAL,UNIT_OF_MEASURE,NAME_OF_MATERIAL,IF_REACHED_WATER,AMOUNT_IN_WATER,UNIT_OF_MEASURE_REACH_WATER
993678,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
993680,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,YES,0,UNKNOWN AMOUNT
993684,ODS,000000-00-0,,10,GALLON(S),OIL: DIESEL,YES,0,UNKNOWN AMOUNT
993685,ODS,000000-00-0,,5,GALLON(S),OIL: DIESEL,YES,5,GALLON(S)
993686,NCC,000000-00-0,,0,UNKNOWN AMOUNT,FIREFIGHTING WATER,NO,,
993686,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,NO,,
993687,BNZ,000071-43-2,,0,UNKNOWN AMOUNT,BENZENE,NO,,
993688,ONG,000000-00-0,,16170,POUND(S),NATURAL GAS,NO,,
993688,NCC,000000-00-0,,6900,POUND(S),VOLATILE ORGANIC COMPOUNDS,NO,,
993689,BDI,000000-00-0,,0,UNKNOWN AMOUNT,BUTADIENE,NO,,
993690,OHY,000000-00-0,,1,GALLON(S),HYDRAULIC OIL,YES,1,GALLON(S)
993691,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
993692,OHY,000000-00-0,,1,GALLON(S),BIODEGRADABLE HYDRAULIC FLUID,YES,1,GALLON(S)
993693,OLB,000000-00-0,,100,GALLON(S),"OIL, MISC: LUBRICATING",NO,,
